Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,class
Male,Yes,3,Not Graduate,No,3522,0.0,81.0,180.0,1.0,Rural,0
Female,No,0,Graduate,No,4124,0.0,115.0,360.0,1.0,Semiurban,1
Male,Yes,2,Not Graduate,No,3987,1411.0,157.0,360.0,1.0,Rural,1
Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,1
Male,Yes,3,Graduate,No,7740,0.0,128.0,180.0,1.0,Urban,1
Male,Yes,2,Not Graduate,No,2192,1742.0,45.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,6400,7250.0,180.0,360.0,0.0,Urban,0
Male,Yes,1,Graduate,No,4283,3000.0,172.0,84.0,1.0,Rural,0
Male,Yes,2,Graduate,No,4708,1387.0,150.0,360.0,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,6608,0.0,137.0,180.0,1.0,Urban,1
Male,Yes,2,Not Graduate,No,6125,1625.0,187.0,480.0,1.0,Semiurban,0
Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,0
Female,Yes,1,Graduate,No,4608,2845.0,140.0,180.0,1.0,Semiurban,1
Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2130,6666.0,70.0,180.0,1.0,Semiurban,0
Male,Yes,2,Graduate,No,8000,0.0,200.0,360.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,2917,536.0,66.0,360.0,1.0,Rural,0
Male,No,0,Graduate,No,3676,4301.0,172.0,360.0,1.0,Rural,1
Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3250,0.0,170.0,360.0,1.0,Rural,0
Male,No,1,Graduate,No,3062,1987.0,111.0,180.0,0.0,Urban,0
Male,Yes,3,Graduate,No,3466,3428.0,150.0,360.0,1.0,Rural,1
Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,0
Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,1
Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,1
Female,No,1,Graduate,No,13262,0.0,40.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,0
Male,Yes,0,Graduate,No,7933,0.0,275.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,14880,0.0,96.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,1782,2232.0,107.0,360.0,1.0,Rural,1
Male,No,0,Graduate,No,1836,33837.0,90.0,360.0,1.0,Urban,0
Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2920,16.12000084,87.0,360.0,1.0,Rural,1
Male,Yes,1,Graduate,No,3155,1779.0,140.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,0
Male,No,0,Graduate,No,2060,2209.0,134.0,360.0,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,3399,1640.0,111.0,180.0,1.0,Urban,1
Male,No,0,Graduate,No,5815,3666.0,311.0,360.0,1.0,Rural,0
Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,1
Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,1
Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,0
Male,No,0,Graduate,No,3229,2739.0,110.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,6700,1750.0,230.0,300.0,1.0,Semiurban,1
Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,1
Male,Yes,2,Not Graduate,No,3675,242.0,108.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,0
Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3033,1459.0,95.0,360.0,1.0,Urban,1
Male,Yes,1,Graduate,Yes,10000,0.0,155.0,360.0,1.0,Rural,0
Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,2500,20000.0,103.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,1
Male,No,3,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,0
Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,1
Female,Yes,0,Graduate,No,4180,2306.0,182.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,1
Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,3500,1083.0,135.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,16666,0.0,275.0,360.0,1.0,Urban,1
Male,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,4554,1229.0,158.0,360.0,1.0,Urban,1
Male,No,0,Not Graduate,No,3358,0.0,80.0,36.0,1.0,Semiurban,0
Male,Yes,0,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,4301,0.0,118.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,2435,0.0,75.0,360.0,1.0,Urban,0
Male,No,0,Graduate,No,2500,0.0,96.0,480.0,1.0,Semiurban,0
Male,No,0,Graduate,No,4917,0.0,130.0,360.0,0.0,Rural,1
Male,No,0,Graduate,Yes,16250,0.0,192.0,360.0,0.0,Urban,0
Female,No,0,Graduate,No,5000,0.0,103.0,360.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3948,1733.0,149.0,360.0,0.0,Rural,0
Male,No,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,2882,1843.0,123.0,480.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3173,3021.0,137.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,4166,0.0,98.0,360.0,0.0,Semiurban,0
Male,Yes,0,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,3704,2000.0,120.0,360.0,1.0,Rural,1
Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,1
Male,No,0,Graduate,No,9508,0.0,187.0,360.0,1.0,Rural,1
Male,Yes,1,Graduate,Yes,2178,0.0,66.0,300.0,0.0,Rural,0
Male,No,0,Graduate,No,20233,0.0,480.0,360.0,1.0,Rural,0
Male,Yes,1,Graduate,No,3125,2583.0,170.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,Yes,2479,3013.0,188.0,360.0,1.0,Urban,1
Female,Yes,1,Graduate,No,3326,913.0,105.0,84.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,1
Male,Yes,3,Graduate,No,4691,0.0,100.0,360.0,1.0,Semiurban,1
Male,Yes,3,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,5829,0.0,138.0,360.0,1.0,Rural,1
Male,Yes,3,Graduate,No,4333,1811.0,160.0,360.0,0.0,Urban,1
Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,1
